16:37:39 | INFO | ComparingAGivenBookWithTheFirstPageBooksInAmazon:28 | Creating web driver configuration...
16:37:39 | INFO | ComparingAGivenBookWithTheFirstPageBooksInAmazon:28 | Open browser...
16:37:39 | INFO | WebDriverThreadLocalContainer:138        | No webdriver is bound to current thread: 1 - let's create a new webdriver
16:37:39 | INFO | FileHelper:56                            | Creating folder: /Users/max_horokhov/Desktop/Projects/Archive/build/downloads/1692020259547_36580_1
16:37:40 | INFO | WebDriverFactory:135                     | BrowserName=chrome Version=115.0.5790.170 Platform=MAC
16:37:40 | INFO | WebDriverFactory:78                      | Selenide v. 5.19.0
16:37:40 | INFO | WebDriverFactory:129                     | Selenium WebDriver v. 3.141.59 build time: 2018-11-14T08:17:03
16:37:40 | INFO | CreateDriverCommand:70                   | Create webdriver in current thread 1: ChromeDriver -> ChromeDriver: chrome on MAC (36be583229fcbedfe60579fd3130dae0)
16:37:41 | INFO | TestListener:18                          | STARTED test: bookInTheListVerification
16:37:41 | INFO | SelenideTools:52                         | Opening url 'https://www.amazon.com/'
16:37:43 | INFO | AmazonHomePage:28                        | Choose filter option --> Books, element --> By.xpath: //select[@id='searchDropdownBox']
16:37:43 | INFO | AmazonHomePage:28                        | Search for item 'Java
16:37:43 | INFO | AmazonHomePage:28                        | Search for item, element --> By.id: nav-search-submit-button
16:37:45 | INFO | AmazonBookList:28                        | Check every product stats, elements --> By.xpath: (//a[@class='a-link-normal s-no-outline' or class='a-link-normal s-underline-text s-underline-link-text s-link-style a-text-normal'])[1]
16:37:45 | INFO | AmazonBookList:28                        | Check every product stats, element --> By.xpath: (//a[@class='a-link-normal s-no-outline' or class='a-link-normal s-underline-text s-underline-link-text s-link-style a-text-normal'])[1]
16:37:48 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //h1[@id='title'] | //span[@id='productTitle']
16:37:48 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //div[@id='bylineInfo']
16:37:48 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //span[@class='a-size-base a-color-secondary' or @class='a-size-base a-color-price a-color-price']
16:37:48 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //div[@id='centerCol' or @class='a-fixed-right-grid-col a-col-left'] | //div[@id='aud_center_col']
16:37:49 | INFO | AmazonBookList:28                        | Check every product stats, elements --> By.xpath: (//a[@class='a-link-normal s-no-outline' or class='a-link-normal s-underline-text s-underline-link-text s-link-style a-text-normal'])[2]
16:37:49 | INFO | AmazonBookList:28                        | Check every product stats, element --> By.xpath: (//a[@class='a-link-normal s-no-outline' or class='a-link-normal s-underline-text s-underline-link-text s-link-style a-text-normal'])[2]
16:37:52 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //h1[@id='title'] | //span[@id='productTitle']
16:37:52 | INFO | AmazonBookPage:28                        | Get book info, element --> By.xpath: //div[@id='bylineInfo']
